sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Bdellovibrionota; c__FAC87; o__UBA2466
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.02	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__2-01-FULL-59-12
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.02	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia; o__Oligoflexales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.34	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46; o__RBG-16-71-46
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.5	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	3.79	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	11.5	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.76	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.39	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__B-17B0; f__Aurantibacillaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.87	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A; f__2013-40CM-41-45
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	18.99	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales; f__Gemmataceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	3.71	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.32	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales; f__Lacipirellulaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.86	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales; f__PALSA-1355
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales; f__PNKZ01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	8.83	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.38	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	15.78	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.21	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__UBA1924
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.85	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__WQYP01; f__WQYP01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.51	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135; f__GCA-002686595
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.68	Root; d__Bacteria; p__Planctomycetota; c__UBA11346; o__UBA11346; f__UBA11346
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	18.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	4.15	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
