sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__P2-11E
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.34	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__QHBQ01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.47	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.57	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.54	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__CAUJGQ01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.55	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.82	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.74	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.46	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.19	Root; d__Bacteria; p__Chloroflexota; c__UBA5177; o__SPIREOTU_01175024
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.94	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	5.21	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.15	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.64	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.34	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.46	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia; o__Vampirovibrionales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia; o__Obscuribacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.74	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.74	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.93	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.36	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018; o__UBA1018
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.17	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Myxococcota; c__UBA727; o__UBA727
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.34	Root; d__Bacteria; p__Babelota; c__Babeliae; o__Babelales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.96	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.76	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.55	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lutisporales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.79	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.94	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Acetivibrionales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.34	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.66	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.66	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.9	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__2-01-FULL-59-12
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.15	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.74	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia; o__Oligoflexales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.9	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.86	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA9968; f__UBA9968
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA1149; f__CAITLU01
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.45	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__Bin18; f__Bin18
